GEOID,max_predicted_time,mean_predicted_time,travel_speed,cons_time_100,cons_circuity_100,circuity,lat,lon,distance_to_fixed_point,stops_within_mbg,n_stops,med_inc,pct_white,pop
510131003003,27.530864197530864,26.524691358024693,7.72587097158717,0.15886789052401315,0.08110425843480265,0.5457403546522049,38.9482074601596,-77.06113109595523,5.12337330679415,"['56312', '57463', '57589', '59440', '60879', '62541']",6,,,
510131005001,21.14814814814815,20.895061728395063,5.7986875099506445,0.18188668340459374,0.20751864357276656,0.46114097481303906,38.9482074601596,-77.06113109595523,5.12337330679415,"['58614', '64035']",2,,,
510131005002,21.641975308641975,21.641975308641975,5.799429549343983,0.1957094561002287,0.2189338493896028,0.4552578866856313,38.9482074601596,-77.06113109595523,5.12337330679415,['58146'],1,,,
510131005004,29.61728395061728,26.916049382716047,7.813669664509196,0.06822424679327825,0.2029527518668941,0.6388052287269342,38.9482074601596,-77.06113109595523,5.12337330679415,"['55906', '57412', '58579', '62416', '63176']",5,,,
510131006001,21.641975308641975,20.891975308641975,5.779144428638725,0.19024528935070095,0.2278164101339442,0.46057259379919385,38.9482074601596,-77.06113109595523,5.12337330679415,"['56079', '60584', '63419', '63636']",4,,,
510131006002,22.14814814814815,22.14814814814815,5.81061872909699,0.18716752013522905,0.20450633285938935,0.4594731225598859,38.9482074601596,-77.06113109595523,5.12337330679415,"['56887', '57329']",2,,,
510131006003,23.666666666666668,23.15432098765432,5.781943990250603,0.23870189917470414,0.29148811721236323,0.4567019690567325,38.9482074601596,-77.06113109595523,5.12337330679415,"['56393', '60343', '60743', '62828']",4,,,
510131007001,31.5679012345679,25.635802469135804,6.15175900318663,0.16399569329820024,0.31849045230246487,0.5313450734729017,38.9482074601596,-77.06113109595523,5.12337330679415,"['55905', '56553', '60657', '64276']",4,,,
510131007002,21.024691358024693,18.37037037037037,8.426873547126934,0.2719281346325942,0.1185847492645606,0.4832691834654909,38.9482074601596,-77.06113109595523,5.12337330679415,"['59899', '61475', '62099']",3,,,
510131007003,23.543209876543212,21.646090534979425,7.3264883012592215,0.23762056279208507,0.2285596872259179,0.45573796593199284,38.9482074601596,-77.06113109595523,5.12337330679415,"['61496', '61911', '62505']",3,,,
510131007004,18.14814814814815,17.411522633744855,8.679112312683158,0.3096071144476484,0.18780418575101468,0.4660836715606063,38.9482074601596,-77.06113109595523,5.12337330679415,"['55958', '56994', '61684']",3,,,
510131007005,30.59259259259259,26.18024691358025,6.343973924099707,0.09251081336382609,0.2405975098615795,0.525421685916801,38.9482074601596,-77.06113109595523,5.12337330679415,"['57763', '60069', '60631', '60752', '61736']",5,,,
510131007006,29.62962962962963,24.866666666666667,7.257880459679049,0.124031768917172,0.1285108489885139,0.5505829982286681,38.9482074601596,-77.06113109595523,5.12337330679415,"['55632', '55654', '55957', '59923', '59993']",5,,,
